"Renewable annual electricity capacity and generation, annual data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This worksheet contains 3 tables, arranged vertically on top of each other and separated by a blank row",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet, to turn off freeze panes select the 'view' then 'freeze panes' then 'unfreeze panes' or use [Alt W, F] ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[x] is used to indicate data not available ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units are specified in the table header or in the row label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CUMULATIVE INSTALLED CAPACITY (MW) 
[note 1]",2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,
Onshore wind,"3,471 ","4,080 ","4,758 ","6,035 ","7,586 ","8,573 ","9,212 ","10,833 ","12,597 ","13,425 ","13,998 ","14,075 ","14,493 ","14,834 ","15,418 ",,,,,,,,,,,,,,,,,,,,,,,,
Offshore wind - seabed,951 ,"1,341 ","1,838 ","2,995 ","3,696 ","4,501 ","5,094 ","5,293 ","6,958 ","8,151 ","9,856 ","10,351 ","11,176 ","13,848 ","14,665 ",,,,,,,,,,,,,,,,,,,,,,,,
Offshore wind - floating,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30 ,30 ,32 ,32 ,80 ,80 ,80 ,,,,,,,,,,,,,,,,,,,,,,,,
Shoreline wave / tidal,2 ,4 ,4 ,9 ,8 ,9 ,9 ,13 ,18 ,20 ,22 ,10 ,10 ,10 ,10 ,,,,,,,,,,,,,,,,,,,,,,,,
Solar photovoltaics,27 ,95 ,"1,000 ","1,754 ","2,937 ","5,528 ","9,601 ","11,914 ","12,760 ","13,059 ","13,345 ","13,747 ","14,151 ","14,893 ","16,238 ",,,,,,,,,,,,,,,,,,,,,,,,
Small scale hydro,175 ,188 ,202 ,216 ,232 ,253 ,300 ,359 ,396 ,404 ,407 ,415 ,419 ,420 ,420 ,,,,,,,,,,,,,,,,,,,,,,,,
Large scale hydro,"1,464 ","1,459 ","1,477 ","1,477 ","1,477 ","1,477 ","1,477 ","1,473 ","1,473 ","1,473 ","1,473 ","1,471 ","1,471 ","1,471 ","1,471 ",,,,,,,,,,,,,,,,,,,,,,,,
Landfill gas ,968 ,"1,021 ","1,053 ","1,042 ","1,050 ","1,058 ","1,061 ","1,062 ","1,066 ","1,063 ","1,055 ","1,055 ","1,056 ","1,059 ","1,059 ",,,,,,,,,,,,,,,,,,,,,,,,
Sewage sludge digestion,157 ,193 ,199 ,212 ,201 ,230 ,231 ,257 ,245 ,247 ,247 ,247 ,257 ,268 ,268 ,,,,,,,,,,,,,,,,,,,,,,,,
Energy from waste,381 ,413 ,502 ,513 ,545 ,680 ,930 ,"1,028 ","1,091 ","1,137 ","1,310 ","1,435 ","1,451 ","1,511 ","1,558 ",,,,,,,,,,,,,,,,,,,,,,,,
Animal Biomass (non-AD) [note 3],111 ,111 ,111 ,111 ,111 ,111 ,111 ,129 ,129 ,129 ,129 ,129 ,129 ,129 ,129 ,,,,,,,,,,,,,,,,,,,,,,,,
Anaerobic digestion,12 ,30 ,74 ,121 ,163 ,243 ,336 ,454 ,507 ,528 ,542 ,547 ,614 ,630 ,631 ,,,,,,,,,,,,,,,,,,,,,,,,
Plant biomass [note 4],285 ,321 ,"1,164 ","1,166 ","1,955 ","2,258 ","2,604 ","2,834 ","3,020 ","4,463 ","4,554 ","4,564 ","4,573 ","4,585 ","4,585 ",,,,,,,,,,,,,,,,,,,,,,,,
Liquid biofuels,0 ,[x],[x],[x],[x],[x],[x],[x],[x],45 ,47 ,46 ,36 ,36 ,37 ,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,"8,004 ","9,256 ","12,382 ","15,651 ","19,961 ","24,921 ","30,966 ","35,651 ","40,293 ","44,174 ","47,018 ","48,122 ","49,915 ","53,773 ","56,568 ",,,,,,,,,,,,,,,,,,,,,,,,
Co-firing [note 5],208 ,278 ,353 ,208 ,39 ,14 ,21 ,13 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTRICITY GENERATED (GWh) 
[note 6]",2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,
Onshore wind [note 8],"7,527 ","7,226 ","10,814 ","12,244 ","16,925 ","18,555 ","22,852 ","20,754 ","28,725 ","30,382 ","31,860 ","34,873 ","29,327 ","35,430 ","32,649 ",,,,,,,,,,,,,,,,,,,,,,,,
Offshore wind [note 8] [note 9],"1,754 ","3,060 ","5,149 ","7,603 ","11,472 ","13,405 ","17,423 ","16,406 ","20,916 ","26,525 ","31,975 ","40,750 ","35,597 ","45,113 ","49,660 ",,,,,,,,,,,,,,,,,,,,,,,,
Shoreline wave / tidal [note 8],1 ,2 ,1 ,4 ,5 ,2 ,2 ,0 ,4 ,9 ,14 ,11 ,5 ,11 ,12 ,,,,,,,,,,,,,,,,,,,,,,,,
Solar photovoltaics [note 8],20 ,40 ,244 ,"1,354 ","2,010 ","4,054 ","7,533 ","10,395 ","11,457 ","12,668 ","12,418 ","12,547 ","12,128 ","13,339 ","13,884 ",,,,,,,,,,,,,,,,,,,,,,,,
Hydro [note 8],"5,228 ","3,591 ","5,692 ","5,310 ","4,701 ","5,888 ","6,297 ","5,370 ","5,882 ","5,443 ","5,933 ","6,878 ","5,418 ","5,661 ","5,538 ",,,,,,,,,,,,,,,,,,,,,,,,
Landfill gas [note 8],"4,918 ","5,217 ","5,318 ","5,209 ","5,175 ","5,033 ","4,872 ","4,703 ","4,284 ","3,916 ","3,624 ","3,496 ","3,313 ","3,101 ","2,994 ",,,,,,,,,,,,,,,,,,,,,,,,
Sewage sludge digestion [note 8],603 ,723 ,775 ,739 ,766 ,840 ,894 ,950 ,967 ,992 ,"1,049 ","1,067 ","1,047 ","1,008 ",995 ,,,,,,,,,,,,,,,,,,,,,,,,
Energy from waste [note 10],"1,509 ","1,529 ","1,504 ","1,773 ","1,648 ","1,900 ","2,582 ","2,740 ","3,386 ","3,490 ","3,792 ","4,358 ","4,636 ","4,832 ","5,046 ",,,,,,,,,,,,,,,,,,,,,,,,
Co-firing with fossil fuels,"1,625 ","2,432 ","3,093 ","1,829 ",337 ,124 ,183 ,117 ,54 ,1 ,2 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,
Animal Biomass (non-AD) [note 3] [note 8],637 ,627 ,615 ,643 ,628 ,614 ,648 ,650 ,649 ,634 ,661 ,655 ,648 ,635 ,623 ,,,,,,,,,,,,,,,,,,,,,,,,
Anaerobic digestion,43 ,117 ,237 ,495 ,713 ,"1,023 ","1,485 ","2,158 ","2,632 ","2,798 ","2,949 ","2,959 ","3,250 ","3,391 ","3,484 ",,,,,,,,,,,,,,,,,,,,,,,,
Plant biomass [note 5] [note 8],"1,379 ","1,615 ","1,771 ","4,048 ","8,833 ","13,085 ","18,592 ","18,747 ","19,922 ","23,136 ","25,306 ","25,883 ","26,959 ","22,727 ","20,800 ",,,,,,,,,,,,,,,,,,,,,,,,
Liquid biofuels,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,135 ,144 ,146 ,149 ,147 ,147 ,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,"25,244 ","26,180 ","35,212 ","41,249 ","53,214 ","64,522 ","83,364 ","82,990 ","98,879 ","110,130 ","119,726 ","133,625 ","122,477 ","135,394 ","135,831 ",,,,,,,,,,,,,,,,,,,,,,,,
Non-biodegradable wastes [note 10],868 ,987 ,"1,085 ","1,429 ","1,481 ","1,923 ","2,584 ","2,741 ","3,387 ","3,492 ","3,793 ","4,360 ","4,637 ","4,833 ","5,047 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOAD FACTORS (%) 
[note 12]",2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,
Onshore wind,24.8,21.9,27.9,25.8,28.4,26.2,29.3,23.6,28.0,26.7,26.5,28.3,23.4,27.6,24.6,,,,,,,,,,,,,,,,,,,,,,,,
Offshore wind,21.1,30.5,37.0,35.8,39.1,37.3,41.5,36.0,39.0,40.1,40.5,45.9,37.8,41.2,39.8,,,,,,,,,,,,,,,,,,,,,,,,
Solar photovoltaics,16.9,7.5,5.1,11.2,9.8,10.9,11.4,11.0,10.6,11.2,10.7,10.5,9.9,10.5,10.2,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,36.4,25.0,39.1,35.9,31.6,39.1,41.0,33.9,36.3,33.2,36.1,41.6,32.8,34.2,33.4,,,,,,,,,,,,,,,,,,,,,,,,
Landfill gas ,58.0,59.9,58.5,56.6,56.5,54.5,52.5,50.4,46.0,42.0,39.1,37.7,35.8,33.5,32.3,,,,,,,,,,,,,,,,,,,,,,,,
Sewage sludge digestion,43.8,47.2,45.1,40.9,42.3,44.5,44.3,44.3,43.9,46.0,48.6,49.3,47.5,43.9,42.4,,,,,,,,,,,,,,,,,,,,,,,,
Energy from waste,45.2,44.0,37.5,39.8,35.6,35.4,36.6,31.9,36.5,35.8,35.4,36.2,36.7,37.3,37.5,,,,,,,,,,,,,,,,,,,,,,,,
Animal Biomass (non-AD),65.5,64.5,63.2,65.9,64.6,63.1,66.8,61.7,57.3,56.0,58.3,57.7,57.2,56.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,
Anaerobic digestion,40.9,63.9,52.1,57.8,57.3,57.5,58.6,62.2,62.5,61.7,63.0,61.9,63.9,62.2,63.0,,,,,,,,,,,,,,,,,,,,,,,,
Plant biomass,55.2,60.8,27.2,39.6,64.6,70.9,87.3,78.5,77.7,70.6,64.1,64.6,67.4,56.7,51.8,,,,,,,,,,,,,,,,,,,,,,,,
Liquid biofuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL (excluding co-firing and non-biodegradable wastes),33.7,31.4,33.9,32.0,33.9,32.8,34.0,28.3,29.7,29.8,30.0,32.0,28.5,29.8,28.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHARES OF ELECTRICITY GENERATED (%),2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,
Onshore wind,[x],1.9,2.9,3.4,4.7,5.5,6.7,6.1,8.5,9.1,9.7,11.2,9.5,10.9,11.2,,,,,,,,,,,,,,,,,,,,,,,,
Offshore wind,[x],0.8,1.4,2.1,3.2,4.0,5.1,4.8,6.2,8.0,9.8,13.1,11.6,13.9,17.0,,,,,,,,,,,,,,,,,,,,,,,,
