city,lat,lng,country,iso2,admin_name,capital,population,population_proper,easting,northing
London,51.5072,-0.1275,United Kingdom,GB,"London, City of",primary,11262000,8825001,530050.1345340288,180358.38616037142
Birmingham,52.48,-1.9025,United Kingdom,GB,Birmingham,,2919600,1137100,406718.82078330126,286901.64363783784
Portsmouth,50.8058,-1.0872,United Kingdom,GB,Portsmouth,,855679,248440,464415.499548332,101090.69165505155
Southampton,50.9025,-1.4042,United Kingdom,GB,Southampton,,855569,271173,441992.06536387384,111616.19110564544
Nottingham,52.9561,-1.1512,United Kingdom,GB,Nottingham,,729977,289301,457119.3789126248,340195.35999662534
Bristol,51.4536,-2.5975,United Kingdom,GB,"Bristol, City of",,707412,472465,358579.34481964854,172904.82312577125
Manchester,53.479,-2.2452,United Kingdom,GB,Manchester,,547627,547627,383824.19724440813,398058.6499592514
Liverpool,53.4094,-2.9785,United Kingdom,GB,Liverpool,,513441,513441,335051.73957042414,390733.58713138336
Leicester,52.6344,-1.1319,United Kingdom,GB,Leicester,,508916,464395,458847.6624489712,304425.6716622296
Worthing,50.8147,-0.3714,United Kingdom,GB,West Sussex,,474485,109120,514829.39993144467,102947.17601946517
Coventry,52.4081,-1.5106,United Kingdom,GB,Coventry,,362690,362690,433389.0760354115,279011.9777995951
Belfast,54.5964,-5.93,United Kingdom,GB,Belfast,,345006,345006,146242.33288892388,529459.4430125783
Bradford,53.8,-1.75,United Kingdom,GB,Bradford,,293277,293277,416563.8711395148,433773.04782475554
Derby,52.9247,-1.478,United Kingdom,GB,Derby,,270468,255394,435190.6418487583,336492.7903280602
Plymouth,50.3714,-4.1422,United Kingdom,GB,Plymouth,,267918,267918,247759.06907700223,54583.302435204096
Westminster,51.4947,-0.1353,United Kingdom,GB,Westminster,,255324,255324,529544.2613945142,178954.52380501485
Wolverhampton,52.5833,-2.1333,United Kingdom,GB,Wolverhampton,,250970,250970,391065.1003207072,298396.2768137495
Northampton,52.2304,-0.8938,United Kingdom,GB,Northamptonshire,,245899,245899,475648.7260228122,259709.7520861479
Norwich,52.6286,1.2928,United Kingdom,GB,Norfolk,,213166,195971,622944.04527925,308517.5594471789
Luton,51.8783,-0.4147,United Kingdom,GB,Luton,,213052,213052,509223.27903394774,221157.80334331415
Solihull,52.413,-1.778,United Kingdom,GB,Solihull,,206674,206674,415197.20361144934,279467.6078086851
Islington,51.544,-0.1027,United Kingdom,GB,Islington,,206125,206125,531665.0267462996,184494.99308127142
Aberdeen,57.15,-2.11,United Kingdom,GB,Aberdeen City,,200680,200680,393443.4078868908,806574.0810902555
Croydon,51.3727,-0.1099,United Kingdom,GB,Croydon,,192064,192064,531657.3924873499,165433.1100960481
Bournemouth,50.72,-1.88,United Kingdom,GB,,,187503,187503,408567.4911494958,91159.5018065832
Basildon,51.58,0.49,United Kingdom,GB,Essex,,185900,185900,572624.3626436401,189730.54351207148
Maidstone,51.272,0.529,United Kingdom,GB,Kent,,176700,176700,576508.6459605227,155576.43243311267
Ilford,51.5575,0.0858,United Kingdom,GB,Redbridge,,168168,168168,544692.513011106,186352.06470987038
